Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
5531.959073781967	49	118.09658	49.744476	193.07544	-1.6740799	851.2083333333334	310.2539254608858	40858	2024745
5639.077750205994	50	130.27446	54.103973	261.25897	28.500683	850.4166666666666	279.0608381498359	40820	2065565
5740.697709560394	51	111.69961	65.9884	246.92755	-19.887486	802.84	339.7403337844949	40142	2105707
5839.574480772018	52	139.58847	56.34989	267.46658	-13.487387	824.2448979591836	314.4586881541069	40388	2146095
5930.891108512878	53	136.79785	80.15354	264.17172	-40.00808	662.3770491803278	382.6836712745203	40405	2186500
6014.5965757369995	54	123.98807	70.537544	261.63348	-40.41945	729.4727272727273	375.1832451456442	40121	2226621
6095.701848268509	55	147.66483	74.874535	263.2669	-45.845646	658.2459016393443	381.6454734452332	40153	2266774
6179.644407749176	56	136.76027	83.72013	262.6768	-22.368668	604.1044776119403	377.50963749003995	40475	2307249
6277.59867978096	57	107.56375	83.48973	268.6609	-49.27807	627.7384615384616	399.91904091946014	40803	2348052
6365.442394256592	58	117.77328	72.54335	225.1963	-68.262596	755.2407407407408	369.2584127372443	40783	2388835
6458.376955032349	59	132.88162	59.129078	254.23192	-26.720251	830.6530612244898	322.22355980069005	40702	2429537
6551.586408138275	60	140.73445	46.593597	228.59375	-23.785019	930.5116279069767	217.76041582895886	40012	2469549
6636.104620695114	61	143.85793	38.168545	193.57826	-7.5130615	960.3333333333334	177.3968736862372	40334	2509883
6722.948135852814	62	158.35767	30.705318	201.48195	15.495605	981.2439024390244	118.62397661802359	40231	2550114
6812.822758674622	63	154.59583	26.90863	241.38419	75.3237	983.2682926829268	105.82060853051259	40314	2590428
6905.204716205597	64	152.63748	23.378298	196.12796	76.79041	980.4634146341464	123.560214916823	40199	2630627
6997.051109790802	65	153.1985	25.90744	245.09615	109.35911	997.609756097561	15.117229790073228	40902	2671529
7092.026482343674	66	148.6223	21.236263	185.2304	102.05918	1000.0	0.0	41000	2712529
7184.951988697052	67	144.58652	36.061726	258.50446	73.27397	978.170731707317	81.9687336104963	40105	2752634
7276.9287831783295	68	148.25418	32.47299	258.5341	80.63342	996.0	14.294805469632461	40836	2793470
7371.79976272583	69	152.3037	30.89319	265.21707	44.9829	967.5	148.27825355118827	40635	2834105
7464.1538207530975	70	147.9287	32.777786	242.99286	40.61743	948.1860465116279	189.67613227324458	40772	2874877
7556.763513326645	71	133.84914	44.726505	190.19655	0.051498413	928.2045454545455	227.1080619386301	40841	2915718
7649.828561306	72	139.95258	41.832615	243.92365	-2.8308334	925.5681818181819	221.9477208844126	40725	2956443
7738.15150809288	73	122.61252	54.47189	221.71185	0.2592926	835.3541666666666	321.27541984924017	40097	2996540
7825.488192796707	74	129.75525	46.645744	214.52348	3.5963402	899.8444444444444	255.9632747577108	40493	3037033
7915.711322546005	75	119.14264	57.181465	208.37091	-45.305107	849.9583333333334	304.1471654707453	40798	3077831
8004.355233192444	76	121.04557	60.417557	229.99277	-14.988441	838.0833333333334	315.85544117874906	40228	3118059
8092.676568508148	77	122.30937	70.62062	244.4076	-43.940742	755.2222222222222	362.9586073056871	40782	3158841
8177.22638630867	78	119.96378	59.601307	235.58627	-9.719246	769.5769230769231	363.77911441263393	40018	3198859
8264.106030702591	79	121.84247	66.1453	191.57733	-19.899372	791.6862745098039	356.23315179677184	40376	3239235
8349.457347393036	80	124.91324	68.12161	241.77898	-13.1297455	799.6470588235294	346.06793074110163	40782	3280017
8437.08084321022	81	113.24374	63.645077	243.57364	-15.349052	773.1538461538462	361.32338938404797	40204	3320221
8524.600026607513	82	132.0111	70.340675	279.63675	-16.66478	774.2884615384615	346.5523235296324	40263	3360484
8614.231748819351	83	146.431	56.717503	262.0374	-38.57614	888.7608695652174	262.1123377470886	40883	3401367
8700.783262491226	84	125.120415	67.63916	261.82788	-17.840157	795.3921568627451	346.11581867705087	40565	3441932
8785.82224059105	85	118.95514	66.44466	281.37268	-23.857307	797.7450980392157	344.56382448341475	40685	3482617
8871.96454334259	86	124.57649	70.2153	256.46548	-18.123997	787.6538461538462	341.4940524662508	40958	3523575
8958.275697946548	87	136.68797	59.809956	254.9942	2.006134	842.9166666666666	310.76276008485246	40460	3564035
9047.061008930206	88	142.1006	68.943436	273.0558	-17.286785	805.18	315.71820916760566	40259	3604294
9133.408106088638	89	158.30705	61.52261	283.5086	-16.879417	864.936170212766	260.5194813849386	40652	3644946
9220.446596384048	90	145.91142	52.876255	259.367	-1.6522331	893.0222222222222	259.6680349890254	40186	3685132
9304.196668624878	91	141.69331	57.679264	276.36365	-2.6665192	843.7291666666666	302.6235105693303	40499	3725631
9391.989636421204	92	140.62791	54.317635	242.58209	2.7209282	881.0869565217391	275.71029424308193	40530	3766161
9479.860618829727	93	164.06004	23.341845	247.16106	123.070496	999.170731707317	5.244753192474385	40966	3807127
9564.80082154274	94	147.97429	55.733875	287.38525	14.803238	853.1875	303.53024672523713	40953	3848080
9657.419226884842	95	149.76457	20.161142	192.47133	112.84919	1000.0	0.0	41000	3889080
9744.815109014511	96	153.29028	34.435673	267.4574	64.815186	957.7380952380952	161.3753476664485	40225	3929305
9835.568587303162	97	159.0113	38.10188	282.69284	108.03973	985.9512195121952	83.42455368205079	40424	3969729
9928.288337230682	98	142.88904	22.439882	185.12132	97.71008	1000.0	0.0	41000	4010729
10015.693540811539	99	155.58734	17.522089	189.00516	117.165665	1000.0	0.0	41000	4051729
